strategy,ticker,side,entry_date,entry_px,exit_date,exit_px,net,excess,regime
PANIC_BOUNCE,DELL,1,2026-07-29,392.1,2026-07-30,404.81,0.03042,0.02929,calm-down
PANIC_LITE,DELL,1,2026-07-29,392.1,2026-07-30,404.81,0.03042,0.02929,calm-down
PANIC_BOUNCE,GLW,1,2026-07-29,126.01,2026-07-30,135.22,0.07109,0.06997,calm-down
PANIC_LITE,GLW,1,2026-07-29,126.01,2026-07-30,135.22,0.07109,0.06997,calm-down
PANIC_LITE,HOOD,1,2026-07-29,92.76,2026-07-30,86.6,-0.06841,-0.06953,calm-down
PANIC_BOUNCE,TXT,1,2026-07-29,89.96,2026-07-30,87.09,-0.0339,-0.03502,calm-down
PANIC_LITE,TXT,1,2026-07-29,89.96,2026-07-30,87.09,-0.0339,-0.03502,calm-down
REVERSAL_3,CGNX,1,2026-07-29,60.36,2026-07-30,62.62,0.03544,0.03432,calm-down
PANIC_LITE,CAT,1,2026-07-29,840.85,2026-07-30,809.14,-0.03971,-0.04083,calm-down
REVERSAL_3,CAT,1,2026-07-29,840.85,2026-07-30,809.14,-0.03971,-0.04083,calm-down
PANIC_BOUNCE,VRT,1,2026-07-29,269.56,2026-07-30,227.5,-0.15803,-0.15915,calm-down
PANIC_LITE,VRT,1,2026-07-29,269.56,2026-07-30,227.5,-0.15803,-0.15915,calm-down
REVERSAL_3,VRT,1,2026-07-29,269.56,2026-07-30,227.5,-0.15803,-0.15915,calm-down
PANIC_LITE,CEG,1,2026-07-29,259.82,2026-07-30,263.56,0.01239,0.01127,calm-down
PANIC_BOUNCE,BE,1,2026-07-29,166.84,2026-07-30,207.12,0.23943,0.23831,calm-down
PANIC_LITE,BE,1,2026-07-29,166.84,2026-07-30,207.12,0.23943,0.23831,calm-down
PANIC_BOUNCE,OKLO,1,2026-07-29,39.58,2026-07-30,41.09,0.03615,0.03503,calm-down
PANIC_LITE,OKLO,1,2026-07-29,39.58,2026-07-30,41.09,0.03615,0.03503,calm-down
PANIC_LITE,SMR,1,2026-07-29,8.22,2026-07-30,8.6,0.04423,0.04311,calm-down
PANIC_BOUNCE,IONQ,1,2026-07-29,33.88,2026-07-30,35.77,0.05379,0.05266,calm-down
PANIC_LITE,IONQ,1,2026-07-29,33.88,2026-07-30,35.77,0.05379,0.05266,calm-down
PANIC_BOUNCE,QBTS,1,2026-07-29,17.64,2026-07-30,17.98,0.01727,0.01615,calm-down
PANIC_BOUNCE,RGTI,1,2026-07-29,14.52,2026-07-30,14.86,0.02142,0.0203,calm-down
PANIC_BOUNCE,IREN,1,2026-07-29,33.93,2026-07-30,38.26,0.12562,0.1245,calm-down
PANIC_BOUNCE,LASR,1,2026-07-29,63.3,2026-07-30,65.71,0.03607,0.03495,calm-down
REVERSAL_3,LASR,1,2026-07-29,63.3,2026-07-30,65.71,0.03607,0.03495,calm-down
PANIC_BOUNCE,LPTH,1,2026-07-29,10.37,2026-07-30,10.33,-0.00586,-0.00698,calm-down
PANIC_BOUNCE,ARM,1,2026-07-29,244.74,2026-07-30,241.54,-0.01508,-0.0162,calm-down
PANIC_LITE,ARM,1,2026-07-29,244.74,2026-07-30,241.54,-0.01508,-0.0162,calm-down
REVERSAL_3,ASML,1,2026-07-29,1582.95,2026-07-30,1651.44,0.04127,0.04015,calm-down
BOLL_SNAP,TSLA,1,2026-07-29,309.22,2026-07-30,308.85,-0.0032,-0.00671,calm-down
PULLBACK_50,NBIS,1,2026-07-25,187.77,2026-07-31,190.41,0.01206,0.0011,calm-down
PULLBACK_50,MPWR,1,2026-07-25,1333.81,2026-07-31,1426.03,0.06714,0.05618,calm-down
PULLBACK_50,TSEM,1,2026-07-25,233.37,2026-07-31,219.67,-0.06071,-0.07167,calm-down
PULLBACK_50,AMD,1,2026-07-25,521.95,2026-07-31,476.15,-0.08975,-0.10071,calm-down
PULLBACK_50,ASML,1,2026-07-25,1757.09,2026-07-31,1629.0,-0.0749,-0.08586,calm-down
PULLBACK_50,STX,1,2026-07-25,851.69,2026-07-31,856.13,0.00321,-0.00775,calm-down
RSI2_DIP,OKTA,1,2026-07-29,136.21,2026-07-31,141.93,0.03999,0.03167,calm-down
BOLL_SNAP,AMD,1,2026-07-29,454.62,2026-07-31,476.15,0.04536,0.03703,calm-down
BOLL_SNAP,NXPI,1,2026-07-29,259.12,2026-07-31,229.16,-0.11762,-0.12595,calm-down
BOLL_SNAP,ON,1,2026-07-29,84.39,2026-07-31,81.61,-0.03494,-0.04327,calm-down
BOLL_SNAP,MCHP,1,2026-07-29,75.71,2026-07-31,74.29,-0.02076,-0.02908,calm-down
RSI2_DIP,TSEM,1,2026-07-29,202.99,2026-07-31,219.67,0.08017,0.07184,calm-down
DOUBLE_DIP,STX,1,2026-07-29,747.3,2026-07-31,856.13,0.14363,0.1353,calm-down
DOUBLE_DIP,SNDK,1,2026-07-29,1096.1,2026-07-31,1214.83,0.10632,0.09799,calm-down
BOLL_SNAP,SNDK,1,2026-07-29,1096.1,2026-07-31,1214.83,0.10632,0.09799,calm-down
DOUBLE_DIP,DELL,1,2026-07-29,392.1,2026-07-31,405.37,0.03184,0.02352,calm-down
DOUBLE_DIP,GLW,1,2026-07-29,126.01,2026-07-31,138.25,0.09514,0.08681,calm-down
RSI2_DIP,HWM,1,2026-07-29,286.04,2026-07-31,282.26,-0.01521,-0.02354,calm-down
RSI2_DIP,TXT,1,2026-07-29,89.96,2026-07-31,85.26,-0.05425,-0.06257,calm-down
RSI2_DIP,CGNX,1,2026-07-29,60.36,2026-07-31,65.24,0.07885,0.07052,calm-down
RSI2_DIP,CAT,1,2026-07-29,840.85,2026-07-31,814.81,-0.03297,-0.0413,calm-down
DOUBLE_DIP,VRT,1,2026-07-29,269.56,2026-07-31,241.57,-0.10584,-0.11416,calm-down
BOLL_SNAP,VRT,1,2026-07-29,269.56,2026-07-31,241.57,-0.10584,-0.11416,calm-down
RSI2_DIP,VRT,1,2026-07-29,269.56,2026-07-31,241.57,-0.10584,-0.11416,calm-down
RSI2_DIP,CVX,1,2026-07-29,187.58,2026-07-31,196.83,0.04731,0.03898,calm-down
DOUBLE_DIP,LASR,1,2026-07-29,63.3,2026-07-31,68.8,0.08489,0.07656,calm-down
DOUBLE_DIP,KDEF,1,2026-07-29,35.95,2026-07-31,35.51,-0.01424,-0.02257,calm-down
RSI2_DIP,LASR,1,2026-07-29,63.3,2026-07-31,68.8,0.08489,0.07656,calm-down
PANIC_BOUNCE,ANET,1,2026-07-30,157.97,2026-07-31,180.35,0.13967,0.11559,storm-down
PANIC_LITE,ANET,1,2026-07-30,157.97,2026-07-31,180.35,0.13967,0.11559,storm-down
PANIC_BOUNCE,CRWV,1,2026-07-30,60.82,2026-07-31,71.77,0.17804,0.15395,storm-down
PANIC_LITE,NVDA,1,2026-07-30,190.01,2026-07-31,200.75,0.05452,0.03044,storm-down
PANIC_BOUNCE,AMD,1,2026-07-30,429.56,2026-07-31,476.15,0.10646,0.08237,storm-down
REVERSAL_3,AMD,1,2026-07-30,429.56,2026-07-31,476.15,0.10646,0.08237,storm-down
PANIC_LITE,TSM,1,2026-07-30,374.67,2026-07-31,404.25,0.07695,0.05286,storm-down
REVERSAL_3,MRVL,1,2026-07-30,163.4,2026-07-31,187.56,0.14586,0.12177,storm-down
PANIC_BOUNCE,SMCI,1,2026-07-30,25.7,2026-07-31,28.4,0.10306,0.07897,storm-down
REVERSAL_3,TXN,1,2026-07-30,271.3,2026-07-31,275.74,0.01437,-0.00972,storm-down
PANIC_BOUNCE,NXPI,1,2026-07-30,240.98,2026-07-31,229.16,-0.05105,-0.07514,storm-down
PANIC_LITE,ADI,1,2026-07-30,353.37,2026-07-31,367.41,0.03773,0.01365,storm-down
PANIC_BOUNCE,MCHP,1,2026-07-30,71.37,2026-07-31,74.29,0.03891,0.01483,storm-down
PANIC_LITE,MCHP,1,2026-07-30,71.37,2026-07-31,74.29,0.03891,0.01483,storm-down
REVERSAL_3,DELL,1,2026-07-30,369.64,2026-07-31,405.37,0.09466,0.07058,storm-down
PANIC_BOUNCE,SOFI,1,2026-07-30,15.25,2026-07-31,16.31,0.06751,0.04342,storm-down
PANIC_BOUNCE,HUM,1,2026-07-30,365.41,2026-07-31,363.86,-0.00624,-0.03033,storm-down
PANIC_BOUNCE,HII,1,2026-07-30,280.4,2026-07-31,326.45,0.16223,0.13814,storm-down
REVERSAL_3,HWM,1,2026-07-30,272.79,2026-07-31,282.26,0.03272,0.00863,storm-down
PANIC_BOUNCE,AVAV,1,2026-07-30,142.12,2026-07-31,149.37,0.04901,0.02493,storm-down
PANIC_BOUNCE,KTOS,1,2026-07-30,43.88,2026-07-31,46.6,0.05999,0.0359,storm-down
PANIC_BOUNCE,MOG.A,1,2026-07-30,389.87,2026-07-31,389.85,-0.00205,-0.02614,storm-down
