strategy,ticker,side,entry_date,entry_px,exit_date,exit_px,net,excess,regime
PANIC_LITE,VRT,1,2026-07-25,290.36,2026-07-28,269.56,-0.07364,-0.07625,calm-down
PANIC_BOUNCE,BE,1,2026-07-25,184.89,2026-07-28,166.84,-0.09963,-0.10224,calm-down
PANIC_LITE,BE,1,2026-07-25,184.89,2026-07-28,166.84,-0.09963,-0.10224,calm-down
PANIC_BOUNCE,OKLO,1,2026-07-25,40.25,2026-07-28,39.58,-0.01865,-0.02126,calm-down
PANIC_LITE,OKLO,1,2026-07-25,40.25,2026-07-28,39.58,-0.01865,-0.02126,calm-down
PANIC_BOUNCE,SMR,1,2026-07-25,8.09,2026-07-28,8.22,0.01407,0.01146,calm-down
PANIC_BOUNCE,QBTS,1,2026-07-25,16.21,2026-07-28,17.64,0.08622,0.08361,calm-down
PANIC_BOUNCE,RKLB,1,2026-07-25,63.91,2026-07-28,63.89,-0.00231,-0.00492,calm-down
PANIC_BOUNCE,ASTS,1,2026-07-25,56.2,2026-07-28,56.55,0.00423,0.00162,calm-down
DOUBLE_DIP,PCT,1,2026-07-25,6.01,2026-07-28,6.17,0.02462,0.02099,calm-down
PANIC_BOUNCE,IREN,1,2026-07-25,37.07,2026-07-28,33.93,-0.0867,-0.08932,calm-down
PANIC_BOUNCE,INFQ,1,2026-07-25,8.97,2026-07-28,9.56,0.06377,0.06116,calm-down
DOUBLE_DIP,CVNA,1,2026-07-25,60.19,2026-07-28,66.07,0.09569,0.09206,calm-down
DOUBLE_DIP,SHOP,1,2026-07-25,112.0,2026-07-28,130.28,0.16121,0.15758,calm-down
PANIC_LITE,SMCI,1,2026-07-25,30.1,2026-07-28,28.45,-0.05682,-0.05943,calm-down
PANIC_LITE,INTC,1,2026-07-25,92.32,2026-07-28,86.3,-0.06721,-0.06982,calm-down
PANIC_LITE,AMAT,1,2026-07-25,536.25,2026-07-28,476.46,-0.1135,-0.11611,calm-down
PANIC_LITE,LRCX,1,2026-07-25,305.21,2026-07-28,269.61,-0.11864,-0.12125,calm-down
PANIC_LITE,GFS,1,2026-07-25,53.53,2026-07-28,49.02,-0.08625,-0.08886,calm-down
PANIC_LITE,KTOS,1,2026-07-25,47.35,2026-07-28,48.64,0.02524,0.02263,calm-down
PANIC_LITE,IONQ,1,2026-07-25,32.84,2026-07-28,33.88,0.02967,0.02706,calm-down
PANIC_LITE,RGTI,1,2026-07-25,14.15,2026-07-28,14.52,0.02415,0.02154,calm-down
PANIC_LITE,RKLB,1,2026-07-25,63.91,2026-07-28,63.89,-0.00231,-0.00492,calm-down
PANIC_LITE,IREN,1,2026-07-25,37.07,2026-07-28,33.93,-0.0867,-0.08932,calm-down
PANIC_BOUNCE,LPTH,1,2026-07-25,10.83,2026-07-28,10.37,-0.04447,-0.04709,calm-down
PANIC_LITE,LPTH,1,2026-07-25,10.83,2026-07-28,10.37,-0.04447,-0.04709,calm-down
PANIC_LITE,INFQ,1,2026-07-25,8.97,2026-07-28,9.56,0.06377,0.06116,calm-down
BOLL_SNAP,TSLA,1,2026-07-25,319.69,2026-07-28,307.44,-0.04032,-0.04395,calm-down
RSI2_DIP,CRWD,1,2026-07-25,183.42,2026-07-28,181.8,-0.01083,-0.01446,calm-down
BOLL_SNAP,ABNB,1,2026-07-25,137.57,2026-07-28,153.11,0.11096,0.10733,calm-down
RSI2_DIP,ABNB,1,2026-07-25,137.57,2026-07-28,153.11,0.11096,0.10733,calm-down
REVERSAL_3,TSM,1,2026-07-25,403.41,2026-07-28,392.31,-0.02952,-0.03213,calm-down
REVERSAL_3,INTC,1,2026-07-25,92.32,2026-07-28,86.3,-0.06721,-0.06982,calm-down
REVERSAL_3,GFS,1,2026-07-25,53.53,2026-07-28,49.02,-0.08625,-0.08886,calm-down
RSI2_DIP,V,1,2026-07-25,351.6,2026-07-28,366.59,0.04063,0.037,calm-down
REVERSAL_3,MOH,1,2026-07-25,197.55,2026-07-28,200.34,0.01212,0.00951,calm-down
REVERSAL_3,HUM,1,2026-07-25,389.32,2026-07-28,388.71,-0.00357,-0.00618,calm-down
RSI2_DIP,BE,1,2026-07-25,217.3,2026-07-28,166.84,-0.23421,-0.23784,calm-down
RSI2_DIP,HOOD,1,2026-07-25,101.58,2026-07-28,92.76,-0.08883,-0.09246,calm-down
REVERSAL_3,BE,1,2026-07-25,184.89,2026-07-28,166.84,-0.09963,-0.10224,calm-down
DOUBLE_DIP,PLTR,1,2026-07-25,123.37,2026-07-28,123.53,-0.0007,-0.00433,calm-down
DOUBLE_DIP,GOOG,1,2026-07-25,318.34,2026-07-28,332.6,0.04279,0.03916,calm-down
RSI2_DIP,OKTA,1,2026-07-25,136.1,2026-07-28,136.21,-0.00119,-0.00482,calm-down
DOUBLE_DIP,RBLX,1,2026-07-25,47.55,2026-07-28,49.5,0.03901,0.03538,calm-down
DOUBLE_DIP,COIN,1,2026-07-26,161.16,2026-07-28,167.9,0.03982,0.03619,calm-down
BOLL_SNAP,AAL,1,2026-07-26,13.56,2026-07-28,15.36,0.13074,0.12711,calm-down
DOUBLE_DIP,MBLY,1,2026-07-26,7.47,2026-07-28,8.43,0.12651,0.12288,calm-down
BOLL_SNAP,MBLY,1,2026-07-26,7.47,2026-07-28,8.43,0.12651,0.12288,calm-down
RSI2_DIP,XYZ,1,2026-07-26,76.49,2026-07-28,83.1,0.08442,0.08079,calm-down
RSI2_DIP,AAPL,1,2026-07-26,321.66,2026-07-28,340.08,0.05527,0.05163,calm-down
BOLL_SNAP,CVNA,1,2026-07-26,60.19,2026-07-28,66.07,0.09569,0.09206,calm-down
DOUBLE_DIP,RDDT,1,2026-07-26,168.78,2026-07-28,178.44,0.05523,0.0516,calm-down
PANIC_BOUNCE,ARM,1,2026-07-25,260.01,2026-07-28,244.74,-0.06073,-0.06334,calm-down
PANIC_LITE,ARM,1,2026-07-25,260.01,2026-07-28,244.74,-0.06073,-0.06334,calm-down
RSI2_DIP,PANW,1,2026-07-25,325.63,2026-07-28,319.0,-0.02236,-0.02599,calm-down
REVERSAL_3,ARM,1,2026-07-25,260.01,2026-07-28,244.74,-0.06073,-0.06334,calm-down
DOUBLE_DIP,ORCL,1,2026-07-25,114.99,2026-07-29,117.74,0.02192,0.03473,calm-down
DOUBLE_DIP,TSLA,1,2026-07-25,313.03,2026-07-29,298.32,-0.04899,-0.03618,calm-down
